BestMatchLKF: 49, SbBoW 0.75 matches: 160
BestMatchLKF: 49, SbBoW 0.75 matches: 199
BestMatchLKF: 49, SbBoW 0.75 matches: 282
BestMatchLKF: 49, SbBoW 0.75 matches: 221
BestMatchLKF: 49, SbBoW 0.75 matches: 160
BestMatchLKF: 49, SbBoW 0.75 matches: 156
BestMatchLKF: 50, SbBoW 0.75 matches: 188
BestMatchLKF: 50, SbBoW 0.75 matches: 246
BestMatchLKF: 50, SbBoW 0.75 matches: 239
BestMatchLKF: 50, SbBoW 0.75 matches: 976
BestMatchLKF: 50, SbBoW 0.75 matches: 297
BestMatchLKF: 50, SbBoW 0.75 matches: 284
BestMatchLKF: 50, SbBoW 0.75 matches: 240
BestMatchLKF: 50, SbBoW 0.75 matches: 211
BestMatchLKF: 50, SbBoW 0.75 matches: 177
BestMatchLKF: 50, SbBoW 0.75 matches: 184
BestMatchLKF: 51, SbBoW 0.75 matches: 115
BestMatchLKF: 51, SbBoW 0.75 matches: 132
BestMatchLKF: 51, SbBoW 0.75 matches: 158
BestMatchLKF: 51, SbBoW 0.75 matches: 205
BestMatchLKF: 51, SbBoW 0.75 matches: 992
BestMatchLKF: 51, SbBoW 0.75 matches: 228
BestMatchLKF: 51, SbBoW 0.75 matches: 210
BestMatchLKF: 51, SbBoW 0.75 matches: 131
BestMatchLKF: 51, SbBoW 0.75 matches: 143
BestMatchLKF: 51, SbBoW 0.75 matches: 135
BestMatchLKF: 52, SbBoW 0.75 matches: 111
BestMatchLKF: 52, SbBoW 0.75 matches: 138
BestMatchLKF: 52, SbBoW 0.75 matches: 203
BestMatchLKF: 52, SbBoW 0.75 matches: 193
BestMatchLKF: 52, SbBoW 0.75 matches: 320
BestMatchLKF: 52, SbBoW 0.75 matches: 263
BestMatchLKF: 52, SbBoW 0.75 matches: 199
BestMatchLKF: 52, SbBoW 0.75 matches: 142
BestMatchLKF: 52, SbBoW 0.75 matches: 129
BestMatchLKF: 52, SbBoW 0.75 matches: 113
BestMatchLKF: 53, SbBoW 0.75 matches: 143
BestMatchLKF: 53, SbBoW 0.75 matches: 233
BestMatchLKF: 53, SbBoW 0.75 matches: 986
BestMatchLKF: 53, SbBoW 0.75 matches: 199
BestMatchLKF: 54, SbBoW 0.75 matches: 127
BestMatchLKF: 54, SbBoW 0.75 matches: 120
BestMatchLKF: 54, SbBoW 0.75 matches: 154
BestMatchLKF: 54, SbBoW 0.75 matches: 162
BestMatchLKF: 54, SbBoW 0.75 matches: 146
BestMatchLKF: 54, SbBoW 0.75 matches: 186
BestMatchLKF: 54, SbBoW 0.75 matches: 219
BestMatchLKF: 54, SbBoW 0.75 matches: 294
BestMatchLKF: 54, SbBoW 0.75 matches: 274
BestMatchLKF: 54, SbBoW 0.75 matches: 212
BestMatchLKF: 54, SbBoW 0.75 matches: 170
BestMatchLKF: 54, SbBoW 0.75 matches: 177
BestMatchLKF: 54, SbBoW 0.75 matches: 184
BestMatchLKF: 54, SbBoW 0.75 matches: 196
BestMatchLKF: 54, SbBoW 0.75 matches: 158
BestMatchLKF: 54, SbBoW 0.75 matches: 140
BestMatchLKF: 53, SbBoW 0.75 matches: 90
BestMatchLKF: 54, SbBoW 0.75 matches: 121
BestMatchLKF: 54, SbBoW 0.75 matches: 114
BestMatchLKF: 54, SbBoW 0.75 matches: 112
BestMatchLKF: 54, SbBoW 0.75 matches: 102
BestMatchLKF: 54, SbBoW 0.75 matches: 105
BestMatchLKF: 54, SbBoW 0.75 matches: 126
BestMatchLKF: 55, SbBoW 0.75 matches: 60
BestMatchLKF: 54, SbBoW 0.75 matches: 108
BestMatchLKF: 54, SbBoW 0.75 matches: 85
BestMatchLKF: 55, SbBoW 0.75 matches: 85
BestMatchLKF: 54, SbBoW 0.75 matches: 104
BestMatchLKF: 54, SbBoW 0.75 matches: 92
BestMatchLKF: 55, SbBoW 0.75 matches: 82
BestMatchLKF: 54, SbBoW 0.75 matches: 102
BestMatchLKF: 55, SbBoW 0.75 matches: 95
BestMatchLKF: 55, SbBoW 0.75 matches: 100
BestMatchLKF: 53, SbBoW 0.75 matches: 73
BestMatchLKF: 55, SbBoW 0.75 matches: 119
BestMatchLKF: 55, SbBoW 0.75 matches: 163
BestMatchLKF: 55, SbBoW 0.75 matches: 151
BestMatchLKF: 55, SbBoW 0.75 matches: 156
BestMatchLKF: 55, SbBoW 0.75 matches: 172
BestMatchLKF: 55, SbBoW 0.75 matches: 201
BestMatchLKF: 55, SbBoW 0.75 matches: 242
BestMatchLKF: 55, SbBoW 0.75 matches: 270
BestMatchLKF: 55, SbBoW 0.75 matches: 325
BestMatchLKF: 55, SbBoW 0.75 matches: 979
